Unnamed: 0,date,review,rating,isEdited,title,userName
215,2024-10-24 03:08:19,"I’d like to simply report some technical bugs I have been experiencing over the course of a year now, they aren’t major and there are work arounds which is why I haven’t said anything. Firstly, when binge watching a show, the little “skip intro” “next episode” “skip recap” stop working properly. I’ll reach the end of an episode, and when I use the “next episode” prompt, it gets stuck in a loading screen mode and nothing will happen. I left it like that to see how long it would take and my TV went to sleep from how long it was left on….. The work around is physically going to the bottom and clicking on the next episode. Something new though, I’m watching Dexter and your Netflix and chills: It’s Halloween! video randomly begins playing in the background. So as I watch any show or movie on your platform, the audio to that video “preview” in the background randomly…. The work around is closing the app and restarting. Not very fun.",3,False,Reporting bugs not a review,SheluvDiablo
1332,2024-10-22 00:45:44,"Netflix really could benefit from Apple Vision Pro’s platform. I imagine that most everyone will be on the platform within the next few years as the tech gets cheaper. But right now? Netflix has an opportunity to attract more subscribers if they could understand how AVP will play out. I just know that their approach needs to be rethought. Netflix has made the odd decision to limit the audio and visual quality on Apple and other devices unless you pay for its highest tier. Why, Netflix? I know you think this might incentivize me to pay you more but it only turns lots off to your whole platform. Why make those features for the highest tier? There are other ways to bring in revenue. This sends a terrible message to consumers.",1,False,Needs Apple Vision Pro app & more,OKBoomer00
1175,2024-10-21 03:10:38,Started out years ago as the top streaming service because of low price and no ads. Now there are subscription tiers to get rid of ads and the need for a different subscription plan to access half of the seasons of a show or the full show outright. I wanted to watch Vikings as Netflix is the only streaming service that has it but due to my phone company paying for my plan I have ads which goes against licensing of the show so I cannot watch it unless I upgrade my plan. If I was paying for Netflix directly I would cancel my plan; but since it was a free upgrade for my phone plan I will just find the shows I want on the internet. Streaming services today have just become the next generation of cable tv and it’s appalling.,1,False,Basically todays cable tv,Drmufinman
8,2024-10-20 15:18:50,"I have been using Netflix for YEARS and it is amazing! It is a platform where you can watch all your favorite movies or tv shows. Most of my favorite shows are on here and that is part of the reason I have it. If you pay for a subscription every month or year I think, you can watch unlimited movies and shows for that amount of time. Some of the things on Netflix are interactive which is cool too. You can add things to your list which would be your favorite things to watch. And for traveling you can download movies to watch WITHOUT internet! There are different profiles you can set up and even a kids option so they won’t go watching stuff they are not supposed too. They show age ratings which is helpful for kids at young ages. There are so many different genres of movies like comedy, drama, horror, action and more! Something I also like is they put different movies and shows in different number places like the number one through ten of the best movies or shows that time you get on the app. This app has a great selection if your looking for some newer or older movies too. This app is just amazing and I really enjoy it.",5,False,Netflix is awesome!,Pandacandyy11
387,2024-10-19 14:09:36,Like most people I love love loveeee Netflix but they’re deleting too many shows. An example is like total drama and this bugs me so much because they deleted total drama world tour which is the last season of gen 1. This is recent by the way and this bugs the crap out of me because they could at least keep all of gen 1 but instead they got rid of it which to this day annoys me so muchhhh. Another example is like Pokémon because last summer or smth we finished up the original series aka the ash series but a month or 2 ago they literally got rid of it which annoys me so freaking much because now we’re stuck with this crappy new season. Overall I highly recommend Netflix just stop deleting stuff and bring back my baby total drama world tour!!!!!! Also sorry if I repeated stuff too much 😅,4,False,STOP DELETING STUFF NETFLIX👹👹,ladybug twin
1993,2024-10-19 00:48:18,"I have been a longtime user of Netflix for years and I am frankly disgusted by the corporate greed executives are displaying. I have not been able to access my Netflix account for days because I am “not in the same household” as the person who pays for the account. This means that not only can I not watch anything on Netflix, but I can’t even access my watch lists or watch history, making the account I have had for years essentially useless. Also, I will not be making a personal Netflix account or giving the platform any of my money because I have been frankly unimpressed by the catalog on Netflix for years now.",1,False,Remove Anti Password Sharing Function,PrinceVince420
791,2024-10-18 17:34:15,"The number of new subscribers is a false sense of security. Most of the new subscribers received it free, with ads, with their cell phone plan but don’t actually watch it. I canceled! There are to many foreign movies with voice over in English. It’s Horrible! Having to constantly log into my own account to prove it’s me is ridiculous! Then I go away on vacation and you refuse to let me watch on my own iPad. The movies and shows aren’t even good, yet they raise the price and add commercials. The only purpose of streaming was there were no commercials. I had the free version. Even though it was free, I cancelled and went back to cable. At least I never have to sign in again! I hope Netflix goes bankrupt. They don’t deserve to be in business. Judging by their star rating, they are heading there.",1,False,Foreign movies with voice over! Not paying for this junk!,iPhonePhive
1960,2024-10-18 12:17:07,I have been watching Netflix on my friends account for a very long time and now that there is this new update I can’t watch it unless I’m connected to there internet! That’s not fair to the people who can’t get internet at there house and can’t watch the movies they wanna watch. In my opinion an I’m sure others will agree they should change it back where other we can log in to other’s account! All I wanna do is watch the new season of OBX like give me a break Netflix!!!!!!!,4,False,CHANGE BACK WHERE OTHERS CAN LOG IN TO THERE FRIENDS ACOUNT!!,getfsnc
1098,2024-10-13 19:43:51,"Netflix isn’t only a movie or series streaming service. But you as a user get access to so many games you don't have to pay for ! The games are so fun and it is great games. For example if you love watching too hot to handle there is a game for you to play, and without any costs! All choices are free! 
Not just that game theres a world full of fun game. 
There is also alot of interactive movies, where you make choices for the characters in the movie. I absolutely enjoy it, theres more to it that meets the eye. It will definitely keep you non bored! 💕💕 Thankyou netfilx!",5,False,Love it!,AmyWest21
1072,2024-10-12 15:11:33,"My family (read: parents) has used Netflix since we had to rent the dvds via mail. It’s sad to see how it has grown to the media giant it is, and now disrespects both its consumers and creators with its streaming choices. There is no point in joining to watch old, nostalgic shows. They’ll be gone in a week. There’s no point in becoming fascinated with a new show. They’ll cancel it after one season. All for it to quadruple in price while failing the expectations of the people paying. I can’t imagine the frustration of those who actually make the shows… all the writers, actors, producers, costume designers, animators, etc who work so hard for a new show just to have it canceled. It cares nothing for creating a legacy through media. And now ads? What a way to re create cable.",1,False,Just keeps going down hill,roww_boat
1124,2024-10-11 22:33:01,"Everyone switched from cable because it offered more benefits than cable did. No ads, cheaper, no cable man having to hook things up, everything was right here. Now they keep upping the prices and decreasing the benefits. Now you still have ads and some movies aren’t even available without a better subscription so they pretty much force you to upgrade if you want to watch anything decent. All the movies are awful and either outdated or just dumb with the exception of a few good Netflix exclusive shows. You also have to have multiple subscriptions to even watch half of what you could with cable, which isn’t exactly Netflix’s fault but definitely where it started. Over Netflix and pretty much every other subscription TV service too.",1,False,Money grab,Kimbo3752
298,2024-10-11 13:58:31,"This profile thing is a joke! In my profile, it had someone else’s continue watching, with their Name, and all their recommendations! So frustrating! Now my mom is punishing me because this stupid app never works. Also there is this stupid glitch where Brainchild (Netflix original) just stops existing randomly & this is really freaking annoying. This is my favorite show!

(update) 
I was very angry when I wrote this review, but seriously guys, the bugs are out of control! There is this glitch where Literally half the stuff on Netflix has no picture and there is no option to watch. The only option is ‘remind me’. Seriously. These bugs/glitches/technical difficulties/whatever the heck you want to call them are getting out of hand. Also, don’t remove old things. Especially if you don’t have to pay for the right to stream it",3,False,"I changed my review, but this app is full of bugs.",lightbulb LED CFL
1269,2024-10-09 23:27:02,I rate it two stars because they deleted season one of beast morphers it was my favorite season  and I think that season one should come back because not only was it the season when the rangers first transformed but was the most intriguing season in beast morphers I’d wast h power rangers more often if season one of beast morphers was added back and we all now that you should add back other power rangers because a lot of deleted power rangers are peoples favorite but you guys deleted them and took away the first season of beast morphers and I hate that and people love power rangers but they won’t if you guys delete seasons and power ranger shows so I want some power rangers back and season one of beast morphers back,2,False,takes away seasons,We want Power rangers
1762,2024-10-08 19:21:33,"I have the Netflix plan with adds. I used, before Netflix made all their changes, watch Netflix on my phone all the time, all the time because I could multi-task with phone such as cooking viewing the recipe while still having Netflix on in the tiny screen version. But with the changes and because I have the basic plan you can’t leave the app so because I still need to do things I’m just watching way less. Was annoying at first but I’m seeing the positive side and it actually helps me to be productive by turning the tv off for me.",3,False,Helps me watch less Netflix,frksnsndndndk sbdjckfms
86,2024-10-05 23:48:29,I love watching Netflix so much but they got rid of some of my favorite movies and childhood shows and now they are starting to put ads after a certain amount of time in the episode for shows and I try to enjoy the episodes for one of the shows that I am starting to watch and the ads get me so frustrated that I have to wait until I can watch the episode again. I have no clue if this is happening with movies but I don’t appreciate this because I don’t like to wait three times for an ad to just pop up even though it doesn’t have to put ads on. It’s happened to me so much now I’m trying not to get frustrated and irritated about this but it’s happening to the point that I do and this is the same thing that happening with other apps and I can’t really enjoy the show or movie properly and I don’t know if this is going to be permanent or not but I wouldn’t have the same experience as I would when there wasn’t any ads. But other wise the app is great and I hope to use it more to watch shows and movies that I enjoy and hopes that those won’t get removed from the app.,3,False,ADS/ other,()()()()()()()()()()()()()..
1478,2024-10-05 23:43:20,"I just cancelled my Netflix subscription after over 10 years as a customer. I knew something was up when I got the email extolling the fabulousness of a cheaper plan with COMMERCIALS. I was paying $12 per month for NO COMMERCIALS. What did I get with the new $7 plan? Well, commercials. No more “picture in a picture” function, no more downloads. What’s my crime you ask? I  have a perfectly functioning older iPhone using iOS 15. What’s this, the NEW Netflix plan for $7 requires IOS 16 to have the PIP, downloads, and other “new” features. So, I had all of that for $12 and in the blink of an eye, it’s gone. no longer available for me for $7.  I’m unwilling to buy a new phone—-  so bye bye Netflix.",1,False,Netflix does not care about your business,Charo_68502
236,2024-10-05 05:26:04,I’ll go straight ahead and get to the point and I gave this 2 stars because of the new update where you have to verify or it gives you a message like oh we’re sorry this device is not apart of your Netflix household or something like that and it keeps popping up for me and my Tia has to keep verifying it because it keeps asking to me to watch it ONLY TEMPORARILY UNTIL IT ASKS ME AGAIN!! I don’t like this because even though it helps with like data leaks and stuff it’s harder to share accounts and stuff with family exactly why I stopped using Disney because it’s annoying to keep asking my family to keep verifying taking up their time and my time to get to my shows. I am getting really annoyed by this because it’s stopping me from watching when I want to watch it my Tia pays for account stuff so we don’t have to deal with this so it’s very annoying to be dealing with this EVERY SINGLE TIME I LOG ON. So please read this dev and even tho no one reads this but if you are thank you for reading!,2,False,DEV PLEASE READ AND RESPOND,idatgwurl
792,2024-10-03 21:10:08,"Overall, Netflix is a great app to use. There’s many movies from different states, you can watch it on your phone, iPad, computer, TV any device you’d like its very great to enjoy with family and friends. However, when I watch movies or shows from different countries or states that are not from the U.S. for example Korean drama a lot of the Korean drama doesn’t have English audio in them and it’s less enjoyable if I have to read the captions for every episode I wish that there was English audios that’s the only problem but other than that this app is great so please consider giving Netflix five stars",5,False,Netflix fan ❤️,❤️ Mommy ❤️'s baby
1479,2024-09-30 22:01:03,"Dear Netflix, you have disappointed me yet again. Your shows are lackluster at best, and the very few of the goods ones you decide to cancel or discontinue them. However, I would disregard those mistakes if it weren’t for the fact that your profile pictures stink (for a lack of a better term). You constantly make these shows that nobody cares about and have the nerve to make pfps of said actors assuming that somebody would use them. Terrible taste and you should all quit and give inside job to adult swim. Stop making big mouth seem better than it is, and stick to your old shows. Also, put inside job profiles in the app and I will consider changing my review. Also it costs too much.",1,False,Netflix make better pfps!!!,73472724
793,2024-09-30 14:05:05,"Though I do like the app as a whole and the content it brings, it’s extremely disappointing that I, as a college student, can’t access the account. I use my parent’s account (family plan). Currently, I can’t go to my parents house continuously to have it activated. 

I understand that the company has to make profits, but college students have to much stuff to pay, and sometimes, one simply desires some entertainment to distract ourselves from continuous studying. Would love if their was a way to show that it’s a college student as a way to have the account activated for longer periods of time at least, and don’t be forced to travel home just to activate it, pay another account or simply find other means to watch stuff.",2,False,No consideration for college students that don’t live in their parentshouse’s,adri_squeaks
1923,2024-09-29 20:40:39,"you have fail me and the whole community that uses your app. To all the many shows that you have cancels that could’ve changed lives!! And to all the movies that did you decide that ginny and georgia a revolting and ridiculous show is worth a place more than any other show??? Voltron changed my life. It has stuck with me ever since i watch it the first time. How dare you even THINK of taking that off Netflix. honestly if you don’t bring back a great well deserving show a new episode or even better, season. i will find you. And you will regret messing with my go to binges. Voltron better still be there on december 8th.",2,False,Why.,sammy_gay
674,2024-09-27 10:08:12,"Don’t bother watching anything produced by Netflix, it’s trash Half. Half the shows are spinoffs off existing properties and remakes that feel the same and don’t last longer then a season. Probably gonna delete soon, I have better things to do and I can’t even use the app away from home anymore because it keeps asking me to update my household. I’ve done it too many times and when I do, it just ask again the next time I open it on a laptop or tv. I’ve started buying physical media again so hopefully soon I can cancel all subscriptions and just run the free monthly trials whenever I want to watch something new. Subscriptions were supposed to be convenient, now I’m getting woken up at 2 am by my brother who can’t use Netflix in his Xbox I’m done.",2,False,Don’t bother watching anything produced by Netflix it’s trash,fukbesbuy
135,2024-09-26 21:06:55,"I have been using Netflix for years. But I refuse to give this terrible streaming service another dime of my money. Netflix you have gone to absolute trash and it’s pretty pathetic that nobody wants to pay for your terrible service anymore. Your greedy, limited, and unreliable. Netflix used to be the best streaming platform anyone could ask for. But now? Your paying an unreasonable amount of money for shows and movies that are terrible. Constantly having to verify MY DEVICES whenever I’m otg. Can’t having anything that works properly. Overall it’s very pathetic and I most definitely will not and I quote “never recommend using this app.” Me and my family used the same account for years and after I moved I have been restricted of my use on Netflix and I’m quite tired of it. Who are YOU to tell ME that I’m not apart of the household that I PAY FOR.  Netflix is trying its best to get as much money as possible out of people and I personally think that we should all cancel our subscription just to humble them. They don’t give you your moneys worth and only thing I get out of it is stress and less money in the bank. Netflix, your company is terrible.",1,False,Very inflexible,Breeboo222
1033,2024-09-26 01:37:36,It’s sad when u wanna endorse cameltoe Harris and then up prices I’ve had Netflix since 2023 and never an issue until this campaign stuff popped off and yall loaned money out now u wanna be greedy and up prices and allow me to watch on two screens I can’t even watch what I pay for in my own home because I’m limited to 2 screens and if I go to someone’s house for the night I can’t even watch Netflix it’s turned into a big joke zero stars do not download to these greedy a**holes I am deleting this app and you will have no more of my money everyone I know left because of politics I was sticking around because I don’t get into politics and these prices have gotten ridiculous I use to pay $7.99 a month when the app first became a thing now u want me to pay $23 a month think again thieves,1,False,Zero stars,Ira spates III
